0	0.00	4.10	4.10
1	4.10	6.17	2.07
2	6.17	7.20	1.03
3	7.20	8.33	1.13
4	8.33	10.27	1.94
5	10.27	11.97	1.70
6	11.97	13.50	1.53
7	13.50	15.60	2.10
8	15.60	17.27	1.67
9	17.27	31.37	14.10
10	31.37	38.60	7.23
11	38.60	40.77	2.17
12	40.77	43.23	2.46
13	43.23	45.67	2.44
14	45.67	47.10	1.43
15	47.10	49.20	2.10
16	49.20	56.40	7.20
17	56.40	67.97	11.57
18	67.97	70.87	2.90
19	70.87	74.03	3.16
20	74.03	76.30	2.27
21	76.30	78.57	2.27
22	78.57	81.03	2.46
23	81.03	82.40	1.37
24	82.40	83.70	1.30
25	83.70	85.13	1.43
26	85.13	86.23	1.10
27	86.23	87.00	0.77
28	87.00	88.07	1.07
29	88.07	88.87	0.80
30	88.87	89.53	0.66
31	89.53	90.93	1.40
32	90.93	91.60	0.67
